q_inv_angstrom,debye_radial_csgc,debye_kdt_csgc,prop_radial_csgc,prop_kdt_csgc
0,1,1,1,1
0.02,0.9726759108340223,0.9726759108340223,0.9728655044082113,0.9728655044082113
0.04,0.8953074974283828,0.8953074974283827,0.8960063106212424,0.8960063106212424
0.06,0.7804658926475028,0.7804658926475028,0.7818357501846428,0.7818357501846428
0.08,0.6454007361915794,0.6454007417034477,0.6474019235879731,0.6474019235879731
0.1,0.5078239922452864,0.5078239922452864,0.5102382311251563,0.5102382311251563
0.12,0.3821244424635034,0.38212444246350347,0.38463189507727125,0.38463189507727125
0.14,0.2770875197809927,0.2770875197809928,0.27936659517131884,0.27936659517131884
0.16,0.19554508430424525,0.19554508430424525,0.1973590944097176,0.1973590944097176
0.18,0.13566048783296977,0.13566048783296975,0.136904547703147,0.136904547703147
0.2,0.09305940700411175,0.09305940700411175,0.09375908903374523,0.09375908903374523
0.22,0.06290793888052457,0.0629079443923928,0.06317978336728076,0.06317978336728078
0.24,0.041291019984887774,0.04129102549675602,0.041286376811254674,0.041286376811254674
0.26,0.025681497310913817,0.025681497310913817,0.025536401630109163,0.025536401630109166
0.28,0.014693505290687994,0.014693505290687994,0.014499584790069835,0.014499584790069835
0.3,0.007523457629342822,0.007523457629342822,0.007323404263603818,0.007323404263603819
0.32,0.003460494191460961,0.003460499703329203,0.0032617047334505492,0.0032617047334505497
0.34,0.0016699748164944732,0.0016699803283627152,0.0014651422582209503,0.0014651422499147913
0.36,0.0012448168595791162,0.001244822371447358,0.0010292122476564672,0.0010292122476564679
0.38,0.0013862789580328994,0.0013862789580329,0.0011660121532904681,0.0011660121532904686
0.4,0.0015572626227956048,0.0015572626227956055,0.0013483409765805894,0.0013483409765805898
0.42,0.0015198811323723226,0.0015198866442405643,0.0013415746295235185,0.001341574629523519
0.44,0.0012609666335307846,0.0012609721453990276,0.0011282356650313308,0.0011282356650313312
0.46,8.692491812450441e-4,8.69254693113286e-4,7.877979656120984e-4,7.877979656120989e-4
0.48,4.3386119687088186e-4,4.338611968708812e-4,3.9921025683814645e-4,3.9921025683814694e-4
0.5,0,0,0,0
