q_inv_angstrom,debye_radial_chignolin,debye_kdt_chignolin,prop_radial_chignolin,prop_kdt_chignolin
0,1,1,1,1
0.02,0.9959021323916999,0.9959021323916999,0.9958405689503117,0.9958405689503117
0.04,0.9836968667172383,0.9836968667172381,0.9834532470621549,0.9834532470621551
0.06,0.9636461638902039,0.9636461638902039,0.9631077957992228,0.963107795799223
0.08,0.936176585417842,0.9361765854178421,0.9352434555914312,0.9352434555914313
0.1,0.9018648755964223,0.9018648755964224,0.9004539040443564,0.9004539040443565
0.12,0.8614185344025437,0.8614185344025436,0.8594671707688338,0.8594671707688339
0.14,0.8156525531290884,0.8156525531290882,0.8131214163405989,0.8131214163405989
0.16,0.765462987095214,0.765462987095214,0.7623376529228053,0.7623376529228054
0.18,0.7117989549210961,0.7117989549210962,0.708090595012057,0.7080905950120571
0.2,0.6556337868631997,0.6556337708077379,0.6513788764881432,0.6513788764881433
0.22,0.5979369117007887,0.5979369117007886,0.5931958527943938,0.5931958527865594
0.24,0.5396473010022254,0.5396473010022252,0.534502128566669,0.5345021285588346
0.26,0.48164945015422156,0.4816494501542215,0.4762008178514031,0.47620081784356877
0.28,0.42475290764813317,0.4247529076481332,0.41911636570215516,0.4191163656943208
0.3,0.36967575400983954,0.36967575400983954,0.36397754904106555,0.3639775490332312
0.32,0.31703236753790515,0.3170323675379051,0.3114050444488464,0.31140504444884654
0.34,0.26732587823656634,0.2673258782365664,0.26190371502807813,0.2619037150280782
0.36,0.22094494066792422,0.22094494066792422,0.2158595413250732,0.21585954132507326
0.38,0.17816472939057112,0.17816472939057112,0.17354091479547448,0.17354091479547454
0.4,0.1391517395426483,0.1391517395426483,0.13510383646263965,0.1351038364626397
0.42,0.10397168612901711,0.10397168612901711,0.10060042578247268,0.10060042578247273
0.44,0.07260000429323046,0.07260000429323046,0.06999005032339158,0.06999005032339159
0.46,0.044934083579371245,0.04493408357937126,0.043152336862909896,0.0431523368629099
0.48,0.020806738464443763,0.02080673846444376,0.01990131785870577,0.019901317858705775
0.5,0,0,0,0
