q_inv_angstrom,debye_radial_chignolin,debye_kdt_chignolin,prop_radial_chignolin,prop_kdt_chignolin
0,68.945112,69.695876,138832.10612,139868.161011
0.02,68.68988,69.440644,138301.189745,139337.244636
0.04,67.929686,68.68045,136720.052336,137756.107227
0.06,66.680846,67.43161,134123.126674,135159.181565
0.08,64.969928,65.720692,130566.478104,131602.532995
0.1,62.832854,63.583618,126125.884577,127161.939468
0.12,60.31369,61.064454,120894.272947,121930.327838
0.14,57.463197,58.213961,114978.627359,116014.68225
0.16,54.337185,55.087949,108496.507266,109532.562157
0.18,50.994769,51.745533,101572.326772,102608.381663
0.2,47.496572,48.247335,94333.553089,95369.60798
0.22,43.902974,44.653738,86906.979681,87943.034571
0.24,40.272458,41.023222,79415.219647,80451.274537
0.26,36.660114,37.410878,71973.547896,73009.602786
0.28,33.116364,33.867128,64687.197902,65723.252792
0.3,29.685933,30.436697,57649.191907,58685.246797
0.32,26.407087,27.157851,50938.754054,51974.808945
0.34,23.311163,24.061927,44620.32587,45656.380761
0.36,20.422368,21.173132,38743.174524,39779.229415
0.38,17.757841,18.508605,33341.557927,34377.612818
0.4,15.327952,16.078716,28435.388297,29471.443188
0.42,13.136794,13.887558,24031.318244,25067.373135
0.44,11.182837,11.933601,20124.16138,21160.216271
0.46,9.45969,10.210454,16698.553076,17734.607967
0.48,7.95694,8.707704,13730.75614,14766.811031
0.5,6.661011,7.411775,11190.52037,12226.575261
