q_inv_angstrom,debye_radial_strip1_iso2,debye_kdt_strip1_iso2,prop_radial_strip1_iso2,prop_kdt_strip1_iso2
0,1,1,1,1
0.02,0.8584913874082883,0.9285313509092428,0.8586094578821306,0.928580089161219
0.04,0.5514566690176295,0.7387878426785747,0.551789805482474,0.738958827682855
0.06,0.28175112733523733,0.4931539128439361,0.28218593529402,0.4934617373470299
0.08,0.1296458840388506,0.26334851376977075,0.13004716741579045,0.26374530830145604
0.1,0.0595870591911395,0.10059021255675739,0.05990683719665056,0.10099318198030435
0.12,0.026962878699149925,0.019354818378708335,0.027188319017000032,0.019687407785444283
0.14,0.012259894906004125,9.160933594503399e-4,0.012395033398446111,0.001139499006388563
0.16,0.00684843186226409,0.011397101416753585,0.006930701916163289,0.011517335879321378
0.18,0.005419451890646399,0.02208119518912814,0.00548006339186288,0.022132872939553978
0.2,0.0047442713777325765,0.020857598994243495,0.004784723984997334,0.020878507220401854
0.22,0.0038223630195967904,0.011062232482532491,0.0038420267752744004,0.011074931348133326
0.24,0.003049875263333868,0.0021050165946256932,0.0030564311672021008,0.002113801540119396
0.26,0.0023345503658225675,0,0.0023357678856185896,0
0.28,0.0014984606372671725,0.0037540642898833275,0.0014996283288780383,0.003742569052172591
0.3,9.464067261721963e-4,0.008131410742391095,9.479907621319692e-4,0.008112807429905592
0.32,8.378510491331754e-4,0.008877887965355921,8.392132207706988e-4,0.00886039251874716
0.34,7.971977115115985e-4,0.005830087191109165,7.994418992870568e-4,0.005819115432773586
0.36,5.891846075609912e-4,0.0020653569620593328,5.91124296345958e-4,0.0020597260463782966
0.38,3.825439612034602e-4,6.762482468944674e-4,3.8300088973057414e-4,6.700692018167404e-4
0.4,2.9352293057255705e-4,0.0022255018830836804,2.9319637957156246e-4,0.002213479450730843
0.42,2.4950135327463893e-4,0.004762965171951302,2.476944384962033e-4,0.004744523679114074
0.44,2.4133523059583566e-4,0.005887953374054712,2.3797824219090634e-4,0.005867137489148692
0.46,2.3197964466969978e-4,0.004807135319376226,2.2908836594707623e-4,0.004789037323286341
0.48,1.328481764364689e-4,0.0027129664696982836,1.314517724501948e-4,0.002699966043448637
0.5,0,0.001459519497016472,0,0.001450202932452552
