q_inv_angstrom,debye_radial_gpx,debye_kdt_gpx,prop_radial_gpx,prop_kdt_gpx
0,1,1,1,1
0.02,0.9289125721799922,0.9448687602019755,0.9287994463049596,0.9448416863593536
0.04,0.7465184605634306,0.7960820856041758,0.746165539036869,0.796003714328071
0.06,0.5245936375891971,0.5961794477741568,0.5240928346629946,0.5960937409233862
0.08,0.3311134815263764,0.39566565742186954,0.33071885128962364,0.3956730615076829
0.1,0.19744122292695127,0.23367297210056032,0.19738499639283982,0.23387458046355977
0.12,0.11769283509233311,0.12654289263337862,0.1180243741000267,0.1269763355407035
0.14,0.07057955451402595,0.0684617232835665,0.07115044903023278,0.06907030562592363
0.16,0.03979698261884594,0.04143491625773453,0.040384101299374316,0.0420896988854317
0.18,0.01930627942233112,0.02752146452878976,0.019754132402163265,0.028082146779859176
0.2,0.007779582494052081,0.016588529941098915,0.008053150961909455,0.016966119289759423
0.22,0.0031502924175608226,0.006945330426804866,0.0032918618060619412,0.00713158245308782
0.24,0.0021342220918983117,9.480592143271769e-4,0.002196906351772182,0.001000113092649635
0.26,0.0021583052748438414,2.281584479582442e-5,0.0021766682534715225,1.93058204520758e-5
0.28,0.0021688148075174065,0.002565318704891499,0.0021650736479783316,0.0025638536802599994
0.3,0.001972761512655846,0.0052225250254860165,0.0019654797285883316,0.005241663427735707
0.32,0.0015599986401792138,0.005545554939711549,0.001560560250953356,0.005574441468790531
0.34,0.0010127606321545855,0.0035381351395908345,0.0010207857307984647,0.0035594264372943068
0.36,5.343062038798326e-4,0.0010688302537977146,5.425536162575394e-4,0.0010761199831120201
0.38,2.7893516432647795e-4,0,2.8236900057929196e-4,0
0.4,2.1306500786688465e-4,7.211679665039678e-4,2.1219410005103584e-4,7.243073496648016e-4
0.42,2.032587152978704e-4,0.002140257331517471,2.0088581432171586e-4,0.002150714046382867
0.44,1.7260637677252844e-4,0.002851506179723063,1.7028453407170766e-4,0.0028650215143632396
0.46,1.2476930585105973e-4,0.0023276094381815145,1.226558252955956e-4,0.0023372728384812207
0.48,7.144584585996037e-5,0.0011765485076408737,6.984949227717783e-5,0.0011799850479055326
0.5,0,4.243871979327284e-4,0,4.2587492885926085e-4
