q_inv_angstrom,debye_radial_plastocyanin,debye_kdt_plastocyanin,prop_radial_plastocyanin,prop_kdt_plastocyanin
0,1,1,1,1
0.02,0.978178507450988,0.978178507450988,0.9783558625961103,0.9783558626040642
0.04,0.9153027072561419,0.9153027072561419,0.9159727280470645,0.9159727280463814
0.06,0.8186751955556004,0.8186751955556005,0.8200448142010262,0.8200448141995631
0.08,0.6990278923131273,0.6990278976831256,0.7011533564623712,0.7011533564680714
0.1,0.5687050433482098,0.5687050433482097,0.5714856453665175,0.5714856453711635
0.12,0.43970902965361885,0.43970902965361874,0.4429164115862092,0.44291641158981
0.14,0.3220088716559202,0.3220088770259184,0.32534220026441957,0.3253422002589347
0.16,0.22241830770724538,0.22241830770724533,0.22556983347395285,0.22556983346765683
0.18,0.14419151913925632,0.1441915245092545,0.14690594558157427,0.1469059455827686
0.2,0.08730720853901032,0.08730721390900852,0.08942176360269206,0.08942176359528921
0.22,0.04926371390548312,0.04926371390548311,0.050722653726192876,0.050722653726605234
0.24,0.026124896352993098,0.02612489635299309,0.026969495811323005,0.02696949581154226
0.26,0.013550229279860526,0.013550229279860522,0.013891279284299028,0.013891279276282129
0.28,0.0076026716407026984,0.007602671640702698,0.007585509894086788,0.007585509886018625
0.3,0.005226946837946627,0.005226946837946626,0.004998588176374393,0.004998588176415031
0.32,0.004394366203838871,0.0043943662038388705,0.004079516496459336,0.00407951648836267
0.34,0.003990252357750077,0.003990252357750076,0.003678836966528856,0.003678836966558765
0.36,0.003559213340583476,0.0035592133405834754,0.0033044505395357074,0.003304450539562572
0.38,0.0030217248486910367,0.003021724848691037,0.0028454395411804645,0.002845439541203598
0.4,0.002443601580263745,0.0024436015802637447,0.002344849405356145,0.0023448493972453768
0.42,0.001895534191876835,0.0018955395618750555,0.001859413031703751,0.0018594130317188676
0.44,0.0013999155761099758,0.0013999155761099755,0.0014047710210997693,0.0014047710211111898
0.46,9.369572895204628e-4,9.369572895204634e-4,9.596529293365642e-4,9.596529212145343e-4
0.48,4.7540594246473286e-4,4.754113124629535e-4,4.949304966604267e-4,4.949304966644509e-4
0.5,0,0,0,0
