q_inv_angstrom,debye_radial_csgc,debye_kdt_csgc,prop_radial_csgc,prop_kdt_csgc
0,182.298089,182.551059,120813.92213,120970.619496
0.02,177.34077,177.59374,117547.130116,117703.827482
0.04,163.304075,163.557045,108293.853245,108450.550611
0.06,142.468743,142.721713,94548.564566,94705.261932
0.08,117.964319,118.21729,78363.728933,78520.426299
0.1,93.004226,93.257196,61850.237697,62006.935063
0.12,70.198973,70.451943,46728.166453,46884.863819
0.14,51.142472,51.395442,34055.005092,34211.702458
0.16,36.348498,36.601468,24181.910246,24338.607612
0.18,25.483834,25.736804,16903.631211,17060.328577
0.2,17.754861,18.007831,11709.237995,11865.935361
0.22,12.28458,12.537551,8027.716398,8184.413764
0.24,8.362694,8.615665,5391.912631,5548.609997
0.26,5.53071,5.78368,3495.732436,3652.429802
0.28,3.537195,3.790165,2166.981548,2323.678914
0.3,2.236357,2.489327,1303.022638,1459.720004
0.32,1.499227,1.752198,814.02414,970.721506
0.34,1.174379,1.42735,597.731343,754.428708
0.36,1.097244,1.350215,545.248603,701.945969
0.38,1.122909,1.375879,561.718297,718.415663
0.4,1.15393,1.4069,583.669335,740.366701
0.42,1.147148,1.400119,582.854717,739.552083
0.44,1.100174,1.353145,557.170288,713.867654
0.46,1.029106,1.282077,516.184114,672.88148
0.48,0.950115,1.203085,469.401036,626.098402
0.5,0.871401,1.124371,421.339082,578.036448
