q_inv_angstrom,debye_radial_kdelr1,debye_kdt_kdelr1,prop_radial_kdelr1,prop_kdt_kdelr1
0,262804059.329236,154993167.080488,927992682.108068,546876123.744493
0.02,252192609.005185,151910207.605899,890495672.894512,535989792.511964
0.04,222745720.03188,142955841.116462,786440429.627903,504370640.053559
0.06,180815616.020363,128975661.058428,638272752.834543,455004229.028081
0.08,134637842.892882,111258219.63778199,475095967.120413,392440100.50683
0.1,91849531.109199,91372894.767759,323902512.690076,322219340.590087
0.12,57571287.814358,70977720.80713,202793915.467953,250196101.390088
0.14,33665185.987011,51625047.517134,118354046.646504,181851456.113977
0.16,19201923.795382,34592299.733387,67295558.631743,121695877.23555
0.18,11672922.292786,20760240.722113,40742366.669119,72839433.105332
0.2,8292607.074158,10552923.162206,28835663.298753,36779778.894488
0.22,6882406.169582,3943415.541199,23864736.562772,13422371.277219
0.24,6162876.875609,519162.064023,21305241.335517,1311219.004223
0.26,5591971.908311,-407829.086482,19249197.333842,-1982104.384032
0.28,5029262.378057,333487.528293,17214752.606251,616282.855549
0.3,4461291.023446,1909387.624092,15168992.947074,6163376.85362
0.32,3880155.470512,3598527.374679,13092944.191465,12112856.136291
0.34,3279002.612404,4874354.318401,10963281.230539,16605999.146239
0.36,2679806.001018,5444315.796916,8852207.354248,18610077.894309
0.38,2135381.257831,5245396.182506,6938670.714679,17902579.582135
0.4,1700432.050367,4402825.459439,5409952.438868,14925419.980109
0.42,1399180.693749,3164210.743776,4349179.475273,10552406.821142
0.44,1214924.390617,1824062.350484,3698040.150913,5822811.359848
0.46,1104722.625312,653477.51387,3307011.871865,1693166.479608
0.48,1024086.677863,-153078.994014,3020945.635017,-1150563.312351
0.5,944451.677224,-506630.011754,2739962.170135,-2394791.269103
