q_inv_angstrom,debye_radial_plastocyanin,debye_kdt_plastocyanin,prop_radial_plastocyanin,prop_kdt_plastocyanin
0,1,1,1,1
0.02,0.9781785072838499,0.982664539111974,0.9783558625978964,0.9827398326842314
0.04,0.9153027073666379,0.9321461096848358,0.9159727280449784,0.932435783071781
0.06,0.8186751973834085,0.8527311449573778,0.8200448142010248,0.8533415948847929
0.08,0.6990278956640549,0.7509974828577156,0.7011533564655508,0.7519863633684577
0.1,0.5687050430158815,0.6350492622458624,0.5714856453671366,0.636417030948096
0.12,0.43970903046175774,0.5136005356959603,0.44291641159001155,0.5152908018054226
0.14,0.32200887548300494,0.39503279248531786,0.3253422002636341,0.3969412251499028
0.16,0.2224183065993719,0.2865507880371803,0.2255698334710471,0.28854096747060987
0.18,0.14419152030115104,0.19354166753547974,0.146905945585011,0.19546518778913177
0.2,0.0873072099964998,0.11920801991601869,0.08942176360020133,0.12092555726661397
0.22,0.04926371362830069,0.06450220678006945,0.050722653726639776,0.06590223999836256
0.24,0.026124897230402417,0.028344327771489347,0.026969495811388924,0.029356722194865487
0.26,0.013550227725107299,0.008066729321165547,0.013891279283447439,0.008669365062776012
0.28,0.007602672441752664,0,0.007585509892884517,2.1785117115980215e-4
0.3,0.005226945806125756,1.0266639332951326e-4,0.004998588179370803,0
0.32,0.004394365267014634,0.004540299688192903,0.004079516494788981,0.004207740329457919
0.34,0.0039902523235499695,0.010137680181534475,0.003678836967471981,0.009676603125039892
0.36,0.0035592127948628548,0.01465595136242595,0.003304450541278593,0.014162918257698014
0.38,0.0030217253762902024,0.016879777891073422,0.0028454395419518076,0.016433500926089653
0.4,0.002443600903355562,0.016531461484174288,0.0023448494042584574,0.016184144538026676
0.42,0.0018955374642682528,0.014054502585749978,0.0018594130349270984,0.013828502304182456
0.44,0.0013999140103221573,0.010324519931315062,0.001404771021477129,0.01021427553017762
0.46,9.369570512585424e-4,0.006349149876563377,9.596529256228096e-4,0.006327431755358232
0.48,4.7540775237455774e-4,0.003011157105745741,4.949304967909474e-4,0.0030380346966004815
0.5,0,8.930365999045522e-4,0,9.256621398437753e-4
