q_inv_angstrom,debye_radial_gpx,debye_kdt_gpx,prop_radial_gpx,prop_kdt_gpx
0,1735834756.946826,716704143.619806,2845077809.828296,1174369344.055378
0.02,1612564094.110274,701662611.076236,2642686296.298251,1149744844.719427
0.04,1296279706.798668,657992718.432994,2123539309.769803,1078251262.352612
0.06,911446250.600685,589870510.482077,1492285360.35705,966720781.129241
0.08,575937871.505073,503657467.832778,942609113.305233,825561443.702501
0.1,344140657.779591,407097007.972755,563600253.344419,667443082.186901
0.12,205851270.690978,308362349.628668,338013293.507862,505740086.407957
0.14,124153486.44926,215093990.694746,204771568.024366,352957057.084624
0.16,70774305.400903,133562092.679313,117316522.266214,219358570.616482
0.18,35241966.00485,68064874.852797,58674694.196654,111984749.667094
0.2,15253855.629493,20633307.430677,25414007.017549,34167620.879262
0.22,7226338.23224,-8937734.326854,11879779.20415,-14418703.780079
0.24,5464395.506426,-22762477.327768,8767307.774972,-37224012.290774
0.26,5506158.964623,-24315041.901171,8709779.800093,-39924446.33135
0.28,5524385.686051,-17760111.105645,8676821.546156,-29328293.68097
0.3,5184413.361559,-7275586.458401,8109464.792235,-12268391.118433
0.32,4468659.057265,3529641.649999,6958458.780801,5350237.825473
0.34,3519707.178818,12024867.738199,5424119.793447,19220030.514744
0.36,2690032.671486,16751696.948242,4064718.543097,26949083.148503
0.38,2247199.790558,17400858.241807,3325129.374543,28024097.378092
0.4,2132980.476161,14605773.129882,3125653.321126,23473670.417128
0.42,2115973.060495,9613828.810089,3093508.874274,15331482.338251
0.44,2062813.905693,3909824.709411,3006523.092672,6021063.203985
0.46,1979868.255665,-1134970.668607,2871135.839047,-2217830.185277
0.48,1887396.29203,-4528746.082664,2721030.942776,-7764097.885565
0.5,1763502.777332,-5803868.86685,2522479.920484,-9852234.031468
