q_inv_angstrom,debye_radial_strip1_iso2,debye_kdt_strip1_iso2,prop_radial_strip1_iso2,prop_kdt_strip1_iso2
0,1,1,1,1
0.02,0.858491384227443,0.9787178241544373,0.8586094578839271,0.9787242205350616
0.04,0.5514566660259849,0.917007208307714,0.551789805483104,0.9170316726783622
0.06,0.28175112570739874,0.8209927811759825,0.28218593530849667,0.8210438077832956
0.08,0.12964588357450227,0.6999819388073095,0.13004716745931344,0.7000633129427759
0.1,0.05958705963307871,0.5652588953588066,0.059906837189399924,0.5653689355012746
0.12,0.026962875794234897,0.4286605532153913,0.02718831906119606,0.4287922432584642
0.14,0.012259891997324369,0.3011448892470383,0.012395033413639539,0.30128686643378305
0.16,0.006848433527468812,0.1915570454367326,0.006930701899243638,0.19169526724262864
0.18,0.005419450466429004,0.10576012571321688,0.005480063427100031,0.10587992978765885
0.2,0.004744271371027346,0.046234135834248055,0.004784724022925219,0.04632234965404754
0.22,0.0038223633997979626,0.012169034550938209,0.0038420267587919096,0.012215794404944079
0.24,0.003049876419194053,0,0.0030564312067822294,0
0.26,0.0023345504809899904,0.004267837489938014,0.0023357678936552985,0.0042208358123235245
0.28,0.001498459087830537,0.018645308347983586,0.0014996283604983938,0.018555849431702427
0.3,9.464051458460028e-4,0.036956912287379295,9.479907442788243e-4,0.03683335606827371
0.32,8.378484546135145e-4,0.0540358380016575,8.392132327624355e-4,0.053888897091315786
0.34,7.971971556961877e-4,0.06630274914035122,7.994418881799696e-4,0.0661438038785703
0.36,5.891864641682802e-4,0.0720080406673013,5.91124279216586e-4,0.07184752015492761
0.38,3.8254597675298414e-4,0.07114113139833464,3.830009371800466e-4,0.0709872156451961
0.4,2.935198512609694e-4,0.06506603751821198,2.9319637319773445e-4,0.0649238607417644
0.42,2.4950155693569007e-4,0.0559825781877603,2.47694429210579e-4,0.05585401227622792
0.44,2.4133646644261048e-4,0.04633126343809761,2.379782586400139e-4,0.046215253632271566
0.46,2.319812617819152e-4,0.03825570844022201,2.2908839625470316e-4,0.03814904020102228
0.48,1.3284944938608993e-4,0.03321213024636711,1.314517851629964e-4,0.03311044298525759
0.5,0,0.03177742688629788,0,0.03167626601048395
