q_inv_angstrom,debye_radial_gpx,debye_kdt_gpx,prop_radial_gpx,prop_kdt_gpx
0,1,1,1,1
0.02,0.9289125734942245,0.979701561258505,0.9287994462585857,0.9797211354197006
0.04,0.74651846105443,0.9207693588317356,0.7461655389899152,0.9208444591714874
0.06,0.5245936380273089,0.8288389347860703,0.5240928346273847,0.828996438448388
0.08,0.3311134806872355,0.712495060924442,0.3307188512721887,0.7127483454874716
0.1,0.19744122635043343,0.5821874228136479,0.1973849963519027,0.5825340902821949
0.12,0.11769283841302738,0.44894571966574476,0.11802437407551127,0.4493678029643254
0.14,0.07057955858367813,0.3230807478049294,0.0711504490258915,0.3235473215183364
0.16,0.0397969820776613,0.21305404457171745,0.040384101283070864,0.21352577028764644
0.18,0.019306278878114487,0.12466602560231942,0.019754132377078862,0.12510085878810598
0.2,0.007779583924088512,0.06065747042736397,0.008053150929451707,0.061016590710733336
0.22,0.0031502946847039104,0.020751564702749106,0.0032918617925264695,0.0210045894603051
0.24,0.0021342218321163996,0.0020951745970132466,0.0021969063499954907,0.0022238720661792747
0.26,0.0021583058817750173,0,0.002176668230345287,0
0.28,0.0021688168232280717,0.008845831421918615,0.0021650736437456063,0.008726185322091897
0.3,0.0019727624086966315,0.022994621159221847,0.001965479726275792,0.02277542340400926
0.32,0.001560002954566358,0.0375761978842608,0.0015605602514202827,0.037284786033867416
0.34,0.0010127636896484432,0.049040443688136155,0.0010207857143301777,0.04870689228119801
0.36,5.343090094632512e-4,0.05541926531975125,5.42553598301644e-4,0.0550719521167568
0.38,2.7893721902313593e-4,0.05629530376281613,2.8236898174468643e-4,0.055957252064841534
0.4,2.1306950215604342e-4,0.052523356738313785,2.12194075624752e-4,0.05220986654991209
0.42,2.032617069889726e-4,0.04578676419478417,2.0088578321834086e-4,0.04550457978707369
0.44,1.7260601468441407e-4,0.03808925215713325,1.7028452079548384e-4,0.037837226788998306
0.46,1.247731186436309e-4,0.031281337495016596,1.226558072219855e-4,0.031052300888456494
0.48,7.144661120476088e-5,0.026701462263215427,6.984948373843597e-5,0.02648481668966007
0.5,0,0.024980693342381725,0,0.024765186594839297
