q_inv_angstrom,debye_radial_plastocyanin,debye_kdt_plastocyanin,prop_radial_plastocyanin,prop_kdt_plastocyanin
0,127782649.295148,112107098.194599,842816091.576003,741687089.415824
0.02,125003439.497127,110162759.597548,824616824.915454,728865425.131623
0.04,116995507.067326,104496632.0667,772162560.753413,691497210.532835
0.06,104688918.97104,95589480.298402,691502488.61459,632742326.57302
0.08,89450504.368949,84179072.053857,591533739.442864,557450892.360637
0.1,72852439.621628,71174364.417227,482503880.331283,471600555.296444
0.12,56423362.71752,57552722.15926,374397665.406546,381622293.923524
0.14,41432938.909187,44254209.87979,275536510.324223,293706660.645272
0.16,28748972.306525,32086910.164115,191643866.562134,213181849.566818
0.18,18785921.026041,21655043.135178,125500086.119567,144040781.682968
0.2,11541071.43629,13317809.930958,77165059.536184,88669237.424821
0.22,6695809.050586,7182027.060786,44625281.811137,47795328.794047
0.24,3748823.430301,3126573.317849,24652665.351598,20647598.891067
0.26,2147299.412188,852245.708267,13655971.622733,5280056.779659
0.28,1389812.097604,-52515.536468,8353825.526228,-998125.339269
0.3,1087236.88751,-41000.513449,6178637.057427,-1159955.437983
0.32,981198.495818,456722.722783,5405844.390428,1965752.031267
0.34,929730.217887,1084522.756822,5068936.828459,6028280.597676
0.36,874832.539848,1591290.307203,4754137.56999,9360926.536254
0.38,806377.539109,1840713.831661,4368182.545695,11047622.161565
0.4,732746.957528,1801646.798007,3947266.099164,10862388.505577
0.42,662944.982949,1523832.044732,3539091.554341,9112506.633433
0.44,599821.82372,1105478.630987,3156810.150183,6427688.954932
0.46,540859.105934,659602.661208,2782536.84137,3540358.542999
0.48,482075.669328,285214.68139600003,2391779.416007,1096839.65855
0.5,421527.204535,47647.103625,1975621.824591,-472330.052867
