q_inv_angstrom,debye_radial_phgdh,debye_kdt_phgdh,prop_radial_phgdh,prop_kdt_phgdh
0,1,1,1,1
0.02,0.8874003419671468,0.97966388162651,0.887341144793383,0.9796747345524425
0.04,0.6284647581442937,0.9206272381521162,0.6283165703332468,0.9206688937771105
0.06,0.37318419953072035,0.8285495332141551,0.3730535889697404,0.8286369530408362
0.08,0.20459702405651423,0.7120495569015892,0.20459480892459908,0.7121902717497192
0.1,0.11455811683183419,0.581613613934917,0.11469323932036457,0.5818064507368952
0.12,0.06773076669540919,0.4483024197056317,0.06794172698837764,0.44853758181685993
0.14,0.042446218773696275,0.322444986789443,0.04267589123048442,0.32270544968652165
0.16,0.028214311095789257,0.2125035959379144,0.02843135938602703,0.21276756819979065
0.18,0.01855669214869971,0.12426079285744238,0.0187382456693704,0.12450482703380224
0.2,0.01083731554932404,0.06042355862263037,0.01096481341875172,0.06062580520026773
0.22,0.005308791610460758,0.020671379040515168,0.005380898397096796,0.020814472798747655
0.24,0.002492877035994421,0.0021057270895210234,0.0025257128635019833,0.0021788765158378296
0.26,0.0016901496823632795,0,0.0017027332289907538,0
0.28,0.0015836689196318042,0.008710410304953394,0.0015895362188268758,0.008641487673311138
0.3,0.0014488324792553433,0.02259504095115753,0.0014551906135872436,0.022467636576079413
0.32,0.0011535366380994773,0.03680091572146341,0.0011608122813669072,0.036629673426596836
0.34,7.267144874442167e-4,0.04781363858530427,7.32164887131573e-4,0.04761498066460371
0.36,3.6920147364484263e-4,0.053713426113633965,3.722425637322725e-4,0.05350313406226425
0.38,2.371584847178618e-4,0.05413562093313914,2.394497041594454e-4,0.05392680433954577
0.4,2.2784011305446186e-4,0.04998322187511764,2.3095427253647864e-4,0.04978496000687528
0.42,2.2713766394593816e-4,0.04297534648810701,2.3136617359439094e-4,0.042792147499869156
0.44,2.1172007993033802e-4,0.03513356455819623,2.1571098605195968e-4,0.03496563424278764
0.46,1.497025244905125e-4,0.02830615092104721,1.5198699784846353e-4,0.028150324853309764
0.48,6.197801695905956e-5,0.02381070469807514,6.265412104744769e-5,0.0236617981122475
0.5,0,0.022243548925606062,0,0.02209583254320422
