q_inv_angstrom,debye_radial_perlecan,debye_kdt_perlecan,prop_radial_perlecan,prop_kdt_perlecan
0,1,1,1,1
0.02,0.578088407570812,0.9788591454480431,0.5780185407352573,0.9788671203410297
0.04,0.08981164423340869,0.9175529851758362,0.0897695077011779,0.9175834218053054
0.06,0.009318765092249501,0.8221496808259754,0.00934245159087623,0.8222129381127679
0.08,0.00927173120070677,0.701869189359725,0.009284201869398349,0.7019695514699877
0.1,0.005585117654112113,0.5678866646940622,0.005616204546304601,0.568021451930332
0.12,0.004455220197031974,0.43192014449312116,0.004492368332409043,0.4320800295286856
0.14,0.004282171334873306,0.3048120439937486,0.004313218082780152,0.3049825087385976
0.16,0.0030551301705050208,0.19530828632169536,0.0030729846366105516,0.1954719560783081
0.18,0.0021920555280894984,0.10920065087533014,0.0021993587062441055,0.1093400938307447
0.2,0.0015630348685286084,0.04893444268144479,0.0015601825697514737,0.04903495017452357
0.22,0.001141499151815852,0.013706363466224785,0.001134401237234954,0.013758241469707494
0.24,7.518914596169774e-4,0,7.463379846894157e-4,0
0.26,5.283527968833149e-4,0.002441687218870338,5.242281332120577e-4,0.0023933652495035126
0.28,4.6030788444355043e-4,0.014817941033290158,4.547008973177077e-4,0.01473092606255989
0.3,3.646487882124069e-4,0.031082980829315238,3.5935272206545225e-4,0.03097132211856663
0.32,1.959570034778022e-4,0.04620151995660555,1.9264765313318707e-4,0.04608143349349852
0.34,1.151243442060905e-4,0.056713255158089636,1.1180318576392043e-4,0.05660067610968849
0.36,7.804510500788364e-5,0.06096251875374521,7.568919640436013e-5,0.06087087720426355
0.38,4.730482144452423e-5,0.058998291897766196,4.630672466672762e-5,0.05893686475115129
0.4,3.310570639838001e-5,0.05220501389915748,3.194790322727204e-5,0.05217808234321101
0.42,1.1904439467209846e-5,0.042764098041108534,1.0619874899947252e-5,0.04277098322795764
0.44,6.789488304608297e-6,0.03306403666497811,5.904686880824535e-6,0.03309992696627219
0.46,8.562630389126614e-6,0.025172062962082346,8.192391801881187e-6,0.02522941381046484
0.48,4.825107768041197e-6,0.02045547223941788,4.642172648116541e-6,0.020525676911999444
0.5,0,0.019402301020879666,0,0.019477309747138342
