q_inv_angstrom,debeye_radial_csgc,debeye_kdt_csgc,prop_radial_csgc,prop_kdt_csgc
0,1,1,1,1
0.02,0.9726759108340223,0.9963882123903208,0.9728655044082113,0.9963889351670334
0.04,0.8953074974283828,0.9856117768451194,0.8960063106212424,0.9856146874810906
0.06,0.7804658926475028,0.9678463987599226,0.7818357501846428,0.9678528255869712
0.08,0.6454007361915794,0.9433804988887329,0.6474019235879731,0.9433917564404488
0.1,0.5078239922452864,0.9126093796470995,0.5102382311251563,0.9126265243409586
0.12,0.3821244424635034,0.8760263703935713,0.38463189507727125,0.8760503471313754
0.14,0.2770875197809927,0.8342125837356876,0.27936659517131884,0.8342440992448173
0.16,0.19554508430424525,0.7878244841996228,0.1973590944097176,0.7878640031117491
0.18,0.13566048783296977,0.7375801373731452,0.136904547703147,0.737627830853979
0.2,0.09305940700411175,0.6842441742462768,0.09375908903374523,0.6842999559981466
0.22,0.06290793888052457,0.6286121652373818,0.06317978336728076,0.6286756181463687
0.24,0.041291019984887774,0.5714943691803013,0.041286376811254674,0.5715647811671287
0.26,0.025681497310913817,0.5136995864846438,0.025536401630109163,0.5137759703190946
0.28,0.014693505290687994,0.45601935953994355,0.014499584790069835,0.4561004700703147
0.3,0.007523457629342822,0.39921300650509295,0.007323404263603818,0.39929724940927896
0.32,0.003460494191460961,0.3439933148611172,0.0032617047334505492,0.34407895834355284
0.34,0.0016699748164944732,0.2910142837027516,0.0014651422582209503,0.29109930569953674
0.36,0.0012448168595791162,0.24085980358845283,0.0010292122476564672,0.24094208891435737
0.38,0.0013862789580328994,0.19403480182184968,0.0011660121532904681,0.19411209931857462
0.4,0.0015572626227956048,0.1509581239525172,0.0013483409765805894,0.15102807447075572
0.42,0.0015198811323723226,0.1119575334643253,0.0013415746295235185,0.11201781299563947
0.44,0.0012609666335307846,0.07726717689522664,0.0011282356650313308,0.0773155105382378
0.46,8.692491812450441e-4,0.047027132420232445,7.877979656120984e-4,0.047061316781728244
0.48,4.3386119687088186e-4,0.0212850418975766,3.9921025683814645e-4,0.021303055855422137
0.5,0,0,0,0
