q_inv_angstrom,debeye_radial_kdelr1,debeye_kdt_kdelr1,prop_radial_kdelr1,prop_kdt_kdelr1
0,1,1,1,1
0.02,0.9594765656911377,0.9964183900929179,0.9594737649439834,0.9964179961022698
0.04,0.8470236055000286,0.9857314030708645,0.8470123357310243,0.9857299716358525
0.06,0.6868992393126948,0.96811175234551206,0.686874814805631,0.9681086433415236
0.08,0.51055369881131,0.943843199284079,0.5105156621189215,0.943837750675438
0.1,0.3471519723235559,0.9133142863946826,0.3471079237087566,0.9133059814972704
0.12,0.21624884197855218,0.877010253135444,0.21621547170815197,0.8769986795669323
0.14,0.12495525511094784,0.8355027583384669,0.12495406064460796,0.8354875415171266
0.16,0.06972236703513537,0.7894375972531297,0.06977077187921578,0.7894185540630695
0.18,0.04097031677103934,0.7395214785671805,0.04107245910461928,0.7394984716890732
0.2,0.028061432505307134,0.6865071093878763,0.028203863186230332,0.6864801632490287
0.22,0.022676103221275633,0.6311778415460984,0.022831356157196152,0.6311471844698665
0.24,0.019928335721890855,0.5743320045597343,0.020065090079658305,0.5742979455836518
0.26,0.01774814122408611,0.5167669252563283,0.017842946907639694,0.5167298553732185
0.28,0.015599241892303986,0.4592632607364635,0.015644147947133483,0.45922380997029283
0.3,0.013430246154889686,0.40257058470007334,0.013433119955001929,0.4025293897794845
0.32,0.011210985802213936,0.3473931617771934,0.011189355937795025,0.3473510984627854
0.34,0.008915275323943319,0.29437804058013156,0.008887646455102604,0.2943359475937627
0.36,0.006627040519758425,0.2441037107689569,0.006606027800005831,0.24406265547695496
0.38,0.00454797118229715,0.1970716428517265,0.004537904566950565,0.1970326745387262
0.4,0.002886967264996727,0.15369889334320144,0.002885687569041545,0.15366322126189827
0.42,0.0017365394971310519,0.11431359265830128,0.0017392192161342654,0.1142824189707711
0.44,0.0010328938864232336,0.0791519997092198,0.001035477076583903,0.07912661411743158
0.46,6.120494271981563e-4,0.048358188564692636,6.128592649426877e-4,0.04833986518264162
0.48,3.0411301793706265e-4,0.02198542714921975,3.036829328210188e-4,0.02197555258483778
0.5,0,0,0,0
