q_inv_angstrom,debeye_radial_chignolin,debeye_kdt_chignolin,prop_radial_chignolin,prop_kdt_chignolin
0,1,1,1,1
0.02,0.9959021323916999,0.9968594415887039,0.9958405689503117,0.9968266968930527
0.04,0.9836968667172383,0.9874807895867119,0.9834532470621549,0.9873508964907477
0.06,0.9636461638902039,0.9719922296507039,0.9631077957992228,0.9717040738120167
0.08,0.936176585417842,0.9506047327794652,0.9352434555914312,0.950102534148338
0.1,0.9018648755964223,0.9236080083797469,0.9004539040443564,0.92284325169607
0.12,0.8614185344025437,0.8913650232243925,0.8594671707688338,0.8902981781045444
0.14,0.8156525531290884,0.8543051255933597,0.8131214163405989,0.852907151266078
0.16,0.765462987095214,0.8129160496319933,0.7623376529228053,0.8111695663158862
0.18,0.7117989549210961,0.7677348195718615,0.708090595012057,0.7656349977097792
0.2,0.6556337868631997,0.7193379270750719,0.6513788764881432,0.7168929842150641
0.22,0.5979369117007887,0.6683308406380003,0.5931958527943938,0.6655622054396265
0.24,0.5396473010022254,0.615337161379416,0.534502128566669,0.6122792901669604
0.26,0.48164945015422156,0.5609877198926715,0.4762008178514031,0.5576875019020191
0.28,0.42475290764813317,0.5059096338072706,0.41911636570215516,0.5024255466761527
0.3,0.36967575400983954,0.4507159154191551,0.36397754904106555,0.4471167411717787
0.32,0.31703236753790515,0.395995413291283,0.3114050444488464,0.3923587669485247
0.34,0.26732587823656634,0.342303677183843,0.26190371502807813,0.3387142186546543
0.36,0.22094494066792422,0.29015460879692295,0.2158595413250732,0.2867021315544776
0.38,0.17816472939057112,0.24001335016779357,0.17354091479547448,0.2367906468892976
0.4,0.1391517395426483,0.19229023291500805,0.13510383646263965,0.1893909431909312
0.42,0.10397168612901711,0.1473361222996071,0.10060042578247268,0.14485252916722727
0.44,0.07260000429323046,0.10543917574874326,0.06999005032339158,0.10345995898552411
0.46,0.044934083579371245,0.0668227800979873,0.043152336862909896,0.06543099587085131
0.48,0.020806738464443763,0.03164511939447807,0.01990131785870577,0.030916214631383433
0.5,0,0,0,0
