q_inv_angstrom,debeye_radial_strip1_iso2,debeye_kdt_strip1_iso2,prop_radial_strip1_iso2,prop_kdt_strip1_iso2
0,1,1,1,1
0.02,0.8584913874082883,0.9963278490773021,0.8586094578821306,0.9963276396481188
0.04,0.5514566690176295,0.9853727282734195,0.551789805482474,0.9853716465531626
0.06,0.28175112733523733,0.9673162230544442,0.28218593529402,0.967313966416764
0.08,0.1296458840388506,0.9424574941366374,0.13004716741579045,0.9424534180294818
0.1,0.0595870591911395,0.9112052427312917,0.05990683719665056,0.9111991826638959
0.12,0.026962878699149925,0.8740704792651092,0.027188319017000032,0.8740619214120499
0.14,0.012259894906004125,0.8316536677719811,0.012395033398446111,0.8316427513161011
0.16,0.00684843186226409,0.7846340128861403,0.006930701916163289,0.784620304449763
0.18,0.005419451890646399,0.7337525868563725,0.00548006339186288,0.7337362981918988
0.2,0.0047442713777325765,0.6797984026371137,0.004784723984997334,0.6797798475411247
0.22,0.0038223630195967904,0.623591808727833,0.0038420267752744004,0.6235710045885862
0.24,0.003049875263333868,0.5659665448865613,0.0030564311672021008,0.5659438664037381
0.26,0.0023345503658225675,0.5077539404447879,0.0023357678856185896,0.507729709685213
0.28,0.0014984606372671725,0.4497655056713319,0.0014996283288780383,0.4497404867403328
0.3,9.464067261721963e-4,0.3927784692130948,9.479907621319692e-4,0.3927531444909831
0.32,8.378510491331754e-4,0.33752024423513016,8.392132207706988e-4,0.3374950709586898
0.34,7.971977115115985e-4,0.28465557281242404,7.994418992870568e-4,0.2846310339031792
0.36,5.891846075609912e-4,0.23477474162236167,5.91124296345958e-4,0.23475185250018646
0.38,3.825439612034602e-4,0.1883860828399324,3.8300088973057414e-4,0.18836508978317626
0.4,2.9352293057255705e-4,0.14590633243156598,2.9319637957156246e-4,0.14588788963749122
0.42,2.4950135327463893e-4,0.10765768407824887,2.476944384962033e-4,0.10764213231998224
0.44,2.4133523059583566e-4,0.07386403962312714,2.3797824219090634e-4,0.07385188508466999
0.46,2.3197964466969978e-4,0.04465154472184883,2.2908836594707623e-4,0.04464324828350659
0.48,1.328481764364689e-4,0.020050731443933878,1.314517724501948e-4,0.02004642966045686
0.5,0,0,0,0
